SITE,CONT,NO_SPECIES,NO_ORDERS,NO_FAMILIES,GlobalID,lon_bio,lat_bio,mean_HYP,mean_LOP,mean_FCT_HOD,mean_FCT_AL,mean_FCT_OL,mean_FCT_SF,mean_FCT_OT,mean_FCT_CM,NPP
92667,EU,13,2,7,92667,104.75,-5.55,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2497.192412
92669,EU,13,2,7,92669,105.65,-5.55,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2201.806086
93464,EU,15,3,9,93464,104.09,-5.1,1.2,0.571428571,1,0.2,0.333333333,0.2,0,0,2546.668535
93465,EU,13,2,7,93465,104.54,-5.1,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2539.997664
93466,EU,13,2,7,93466,104.99,-5.1,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2377.330695
93467,EU,13,2,7,93467,105.45,-5.1,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2299.675662
94262,EU,14,3,8,94262,103.45,-4.66,1.214285714,0.461538462,1.142857143,0.142857143,0.357142857,0.214285714,0.071428571,0.071428571,2568.118361
94263,EU,14,2,8,94263,103.9,-4.66,1.214285714,0.615384615,1,0.142857143,0.357142857,0.214285714,0,0,2520.028097
94264,EU,13,2,7,94264,104.35,-4.66,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2511.669921
94265,EU,13,2,7,94265,104.8,-4.66,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2465.164316
94266,EU,13,2,7,94266,105.25,-4.66,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2463.02928
94267,EU,12,2,7,94267,105.71,-4.66,1.083333333,0.545454545,1,0.166666667,0.333333333,0.25,0,0,2334.139914
95060,EU,13,2,7,95060,102.83,-4.21,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2665.541914
95061,EU,13,2,7,95061,103.28,-4.21,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2549.070248
95062,EU,13,2,7,95062,103.73,-4.21,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2524.784889
95063,EU,13,2,7,95063,104.18,-4.21,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2446.374997
95064,EU,13,2,7,95064,104.63,-4.21,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2479.873752
95065,EU,12,2,7,95065,105.08,-4.21,1.083333333,0.545454545,1,0.166666667,0.333333333,0.25,0,0,2507.436411
95066,EU,12,2,7,95066,105.53,-4.21,1.083333333,0.545454545,1,0.166666667,0.333333333,0.25,0,0,2447.109723
95860,EU,14,2,8,95860,102.67,-3.76,1.214285714,0.615384615,1,0.142857143,0.357142857,0.214285714,0,0,2547.27016
95861,EU,13,2,7,95861,103.13,-3.76,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2554.723442
95862,EU,13,2,7,95862,103.58,-3.76,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2628.793108
95863,EU,13,2,7,95863,104.03,-3.76,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2558.550528
95864,EU,13,2,7,95864,104.48,-3.76,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2520.665076
95865,EU,12,2,7,95865,104.93,-3.76,1.083333333,0.545454545,1,0.166666667,0.333333333,0.25,0,0,2526.359987
95866,EU,12,2,7,95866,105.38,-3.76,1.083333333,0.545454545,1,0.166666667,0.333333333,0.25,0,0,2484.00165
95867,EU,12,2,7,95867,105.83,-3.76,1.083333333,0.545454545,1,0.166666667,0.333333333,0.25,0,0,2425.019822
95887,EU,12,2,5,95887,114.83,-3.76,1.083333333,0.727272727,1,0.25,0.416666667,0.166666667,0,0,2417.719921
95888,EU,12,2,5,95888,115.28,-3.76,1.083333333,0.727272727,1,0.25,0.416666667,0.166666667,0,0,2382.682445
96659,EU,13,2,6,96659,102.09,-3.31,1.076923077,0.5,1,0.153846154,0.307692308,0.307692308,0,0,2660.62029
96660,EU,13,2,7,96660,102.54,-3.31,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2408.759089
96661,EU,12,2,6,96661,102.99,-3.31,1.083333333,0.545454545,1,0.166666667,0.333333333,0.25,0,0,2550.564852
96662,EU,14,3,8,96662,103.44,-3.31,1.214285714,0.461538462,1.142857143,0.142857143,0.357142857,0.214285714,0.071428571,0.071428571,2546.066111
96663,EU,13,2,7,96663,103.89,-3.31,1.076923077,0.5,1,0.153846154,0.307692308,0.230769231,0,0,2524.784889
96664,EU,12,2,7,96664,104.34,-3.31,1.083333333,0.545454545,1,0.166666667,0.333333333,0.25,0,0,2513.288489
96665,EU,12,2,7,96665,104.79,-3.31,1.083333333,0.545454545,1,0.166666667,0.333333333,0.25,0,0,2562.054021
96666,EU,13,2,7,96666,105.24,-3.31,1.076923077,0.5,1,0.153846154,0.307692308,0.307692308,0,0,2505.798382
